Date,Day of the Week,Times,Hours,Salary,Tips,,,,,,,,,,,,,
08/15/16,Monday,11:00-4:15,5.25,52.50,40.00,,,,,,,,,,,,,
08/19/16,Friday,11:00-4:45,5.75,57.50,45.00,,,,,,,,,,,,,
08/20/16,Saturday,11:00-5:15,6.25,62.50,70.00,,,,,,,,,,,,,
08/21/16,Sunday,11:00-4:30,5.50,55.00,55.00,,,,,,,,,,,,,
08/22/16,Monday,11:00-4:45,5.75,57.50,73.00,,,,,,,,,,,,,
08/26/16,Friday,11:00-5:00,6.00,60.00,55.00,,,,,,,,,,,,,
08/27/16,Saturday,11:00-4:15,5.25,52.50,90.00,342.59,428,,,,,,,,,,,
08/29/16,Monday,11:00-4:15,5.25,52.50,40.00,,,,,,,,,,,,,
09/03/16,Saturday,11:00-4:30,5.50,55.00,50.00,,,,,,,,,,,,,
09/10/16,Saturday,11:00-5:45,6.75,67.50,80.00,,,,,,,,,,,,,
09/11/16,Sunday,11:00-5:30,6.50,65.00,60.00,204.13,230,,,,,,,,,,,
09/17/16,Saturday,11:00-6:15,7.25,72.50,85.00,,,,,,,,,,,,,
09/18/16,Sunday,11:00-5:30,6.50,65.00,100.00,,,,,,,,,,,,,
09/25/16,Sunday,11:00-5:30,6.50,65.00,105.00,173.58,290,,,,,,,,,,,
10/01/16,Saturday,11:00-5:30,6.50,65.00,65.00,,,,,,,,,,,,,
10/02/16,Sunday,11:00-5:00,6.00,60.00,50.00,,,,,,,,,,,,,
10/08/16,Saturday,11:00-5:45,6.75,67.50,100.00,,,,,,,,,,,,,
10/09/16,Sunday,11:00-5:30,6.50,65.00,130.00,=,345,,,,,,,,,,,
10/15/16,Saturday,11:00-5:30,6.50,65.00,60.00,,,,,,,,,,,,,
10/16/16,Sunday,11:00-12:45,1.75,17.50,16.00,,,,,,,,,,,,,
10/22/16,Saturday,11:00-5:45,6.75,67.50,70.00,,,,,,,,,,,,,
10/23/16,Sunday,11:00-5:15,6.25,62.50,62.00,=,#ERROR!,,,,,,,,,,,
10/29/16,Saturday,11:00-8:45,9.75,106.25,220.00,,,,,,,,,,,,,
10/30/16,Sunday,10:00-8:45,10.75,111.25,235.00,,,,,,,,,,,,,
11/05/16,Saturday,11:00-6:00,7.00,70.00,82.00,,,,,,,,,,,,,
11/06/16,Sunday,11:00-4:45,5.75,57.50,53.00,,,,,,,,,,,,,
11/12/16,Saturday,11:00-5:30,6.50,65.00,56.00,,,,,,,,,,,,,
11/13/16,Sunday,11:00-5:00,6.00,60.00,65.00,,,,,,,,,,,,,
11/19/16,Saturday,11:00-5:00,6.00,60.00,40.00,,,,,,,,,,,,,
11/20/16,Sunday,11:00-3:45,4.75,47.50,35.00,,,,,,,,,,,,,
11/23/16,Wednesday,11:00-2:30,3.50,35.00,50.00,,,,,,,,,,,,,
11/25/16,Friday,10:00-4:15,6.25,62.50,60.00,,,,,,,,,,,,,
11/26/16,Saturday,11:00-4:30,5.50,55.00,70.00,,,,,,,,,,,,,
11/27/16,Sunday,11:00-4:30,5.50,55.00,45.00,,,,,,,,,,,,,
12/10/16,Saturday,11:00-8:00,9.00,90.00,200.00,,,,,,,,,,,,,
12/11/16,Sunday,11:00-8:00,9.00,90.00,200.00,,,,,,,,,,,,,
03/04/17,Saturday,11:00-5:30,6.50,65.00,85.00,,,,,,,,,,,,,
